Common Name,Scientific Name,Population Name,Taxon Group,SARA Status,Range,Current State,Threats,Main Threat,Endemic,Full Pop Plan,NP plan,Multispecies plan,Name of NP/MS Plan
Wavy-rayed Lampmussel,Lampsilis fasciola,,Mollusc,Special Concern,Ontario,Management Plan,"1.1, 2.1, 2.3, 6.1, 9.1, 9.3",,No,Yes,,,
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,Fish,Endangered,British Columbia,Action Plan,"7.2, 9.1, 9.3",,Yes,Yes,,,
Western Chorus Frog,Pseudacris triseriata,Great Lakes / St. Lawrence – Canadian Shield population,Amphibian,Threatened,"Ontario, Quebec",Action Plan,"1.1, 2.1, 4.1, 7.2, 9.3","1.1, 2.1, 7.2",No,No,,,
Western Prairie Fringed-orchid,Platanthera praeclara,,Plant,Endangered,Manitoba,Recovery Strategy,"2.1, 2.3, 7.2, 8.1, 11.3",,No,Yes,,,
Western Screech-owl kennicottii subspecies,Megascops kennicottii kennicottii,,Bird,Threatened,British Columbia,Action Plan,"1, 7, 8.1",,No,No,,,
Western Silvery Minnow,Hybognathus argyritis,,Fish,Threatened,Alberta,Action Plan,"7.2, 9.1, 11.2",,No,No,,,
Western Toad,Anaxyrus boreas,Non-calling population,Amphibian,Special Concern,"Yukon, Northwest Territories, British Columbia, Alberta",Action Plan,"1.1, 2.1, 4.1, 8.2",,No,Yes,,,
Westslope Cutthroat Trout,Oncorhynchus clarkii lewisi,Alberta population,Fish,Threatened,Alberta,Action Plan,"1.1, 2.1, 3.2, 5.3, 7.2, 8.1",,No,No,,,
Westslope Cutthroat Trout,Oncorhynchus clarkii lewisi,British Columbia population,Fish,Special Concern,British Columbia,Management Plan,"1.1, 2.1, 3.2, 5.3, 7.2, 8.1",,No,Yes,,,
White Flower Moth,Schinia bimatris,,Arthropod,Endangered,Manitoba,Recovery Strategy,11.4,,No,Yes,,,
White Wood Aster,Eurybia divaricata,,Plant,Threatened,"Ontario, Quebec",Action Plan,"1, 2, 6.1, 8.1, 8.2",,No,No,,,
Whitebark Pine,Pinus albicaulis,,Plant,Endangered,"British Columbia, Alberta",Action Plan,"7.1, 8.1, 11.1",,No,No,,,
White-top Aster,Sericocarpus rigidus,,Plant,Special Concern,British Columbia,Action Plan,"1.1, 6.1, 8.1",,No,No,,,
Whooping Crane,Grus americana,,Bird,Endangered,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Recovery Strategy,"4.3, 9.2, 11.4",,No,Yes,,,
Wild Hyacinth,Camassia scilloides,,Plant,Threatened,Ontario,Action Plan,"1.1, 1.3, 8.2",,No,No,,,
Williamson's Sapsucker,Sphyrapicus thyroideus,,Bird,Endangered,British Columbia,Recovery Strategy,5.3,,No,Yes,,,
Wood Turtle,Glyptemys insculpta,,Reptile,Threatened,"Ontario, Quebec, New Brunswick, Nova Scotia",Action Plan,"2.1, 4.1, 5.1, 6.1, 7.3, 8.2, 11.4",,No,No,,,
Woodland Caribou,Rangifer tarandus,Boreal population,Mammal,Threatened,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Action Plan,"2.1, 3.2, 4.1, 4.2, 5.1, 5.3, 8.2, 11","2.1, 3.2, 4.1, 5.1",No,Yes,,,
Woodland Caribou,Rangifer tarandus,Southern Mountain population,Mammal,Threatened,British Columbia,Action Plan,"2.1, 3.2, 4.1, 4.2, 5.1, 5.3, 8.2, 11","2.1, 3.2, 4.1, 5.1",No,No,,,
Woodland Caribou,Rangifer tarandus,Northern Mountain population,Mammal,Endangered,Quebec,Management Plan,"2.1, 3.2, 4.1, 4.2, 5.1, 5.3, 8.2, 11","2.1, 3.2, 4.1, 5.1",No,Yes,,,
Woodland Caribou,Rangifer tarandus,Atlantic-Gaspésie population,Mammal,Non-active,"British Columbia, Northwest Territories, Yukon",Recovery Strategy,"2.1, 3.2, 4.1, 4.2, 5.1, 5.3, 8.2, 11","2.1, 3.2, 4.1, 5.1",No,Yes,,,
Wood-poppy,Stylophorum diphyllum,,Plant,Endangered,Ontario,Recovery Strategy,"1.1, 1.2, 4.1, 5.3, 6.1, 8.1, 8.3",,No,Yes,,,
Yellow Lampmussel,Lampsilis cariosa,,Mollusc,Special Concern,"New Brunswick, Nova Scotia",Management Plan,"8.1, 9.2",,No,Yes,,,
Yellow Montane Violet praemorsa subspecies,Viola praemorsa ssp. praemorsa,,Plant,Endangered,British Columbia,Recovery Strategy,"7.1, 8.1",,No,No,,,
Yellow-breasted Chat virens subspecies,Icteria virens virens,,Bird,Endangered,Ontario,Action Plan,"1.1, 2.1, 2.3, 4.1, 7.2, 8.1","1.1, 2.1, 4.1, 8.1",No,No,,,
Yelloweye Rockfish,Sebastes ruberrimus,Pacific Ocean outside waters population,Fish,Special Concern,Pacific Ocean,Action Plan,5.4,,No,No,,,
Yucca Moth,Tegeticula yuccasella,,Arthropod,Endangered,Alberta,Recovery Strategy,"5.2, 8.2, 11.3, 11.4",,No,No,,,
