Common Name,Scientific Name,Population Name,Taxon Group,SARA Status,Range,Current State,Threats,Main Threat,Endemic,Full Pop Plan,NP plan,Multispecies plan,Name of NP/MS Plan
Enos Lake Limnetic Threespine Stickleback,Gasterosteus aculeatus,,Fish,Endangered,British Columbia,Recovery Strategy,"7.2, 8.1",,Yes,No,,,
Ermine haidarum subspecies,Mustela erminea haidarum,,Mammal,Threatened,British Columbia,Action Plan,"5.1, 8.2",,Yes,No,,,
Eskimo Curlew,Numenius borealis,,Bird,Endangered,"Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Recovery Strategy,"2.1, 5.1",,No,Yes,,,
False Hop Sedge,Carex lupuliformis,,Plant,Endangered,"Ontario, Quebec",Action Plan,"1.1, 2.1, 7.2, 11",,No,No,,,
Felt-leaf Willow,Salix silicicola,,Plant,Special Concern,"Nunavut, Saskatchewan",Management Plan,6.1,,Yes,No,,,
Fernald's Braya,Braya fernaldii,,Plant,Threatened,Newfoundland and Labrador,Action Plan,"1.1, 3.2, 4.1, 6.1",,Yes,No,,,
Ferruginous Hawk,Buteo regalis,,Bird,Threatened,"Alberta, Saskatchewan, Manitoba",Action Plan,"1, 2, 3.1, 6.1",6.1,No,No,,,
Fin Whale,Balaenoptera physalus,Pacific population,Mammal,Threatened,Pacific Ocean,Action Plan,"4.3, 5.4, 9.6",,No,No,,,
Fin Whale,Balaenoptera physalus,Atlantic population,Mammal,Special Concern,Atlantic Ocean,Management Plan,"4.3, 5.4",,No,Yes,,,
Five-lined Skink,Plestiodon fasciatus,Carolinian population,Reptile,Endangered,Ontario,Action Plan,"1.1, 2.1, 5.1, 6.1, 7.1, 8.2",,No,No,,,
Five-lined Skink,Plestiodon fasciatus,Great Lakes/St. Lawrence population,Reptile,Special Concern,Ontario,Action Plan,"1.1, 2.1, 5.1, 6.1, 7.3, 8.2",,No,No,,,
Floccose Tansy,Tanacetum huronense var. floccosum,,Plant,Special Concern,Saskatchewan,Management Plan,6.1,,Yes,No,,,
Flooded Jellyskin,Leptogium rivulare,,Lichen,Threatened,"Manitoba, Ontario, Quebec",Recovery Strategy,"7.2, 8.1",,No,Yes,,,
Foothill Sedge,Carex tumulicola,,Plant,Endangered,British Columbia,Action Plan,"1.1, 6.1, 7.1, 8.1",,No,No,,,
Forked Three-awned Grass,Aristida basiramea,,Plant,Endangered,"Ontario, Quebec",Action Plan,"1.1, 3.2, 6.1, 7.1, 8.1","1.1, 3.2, 6.1",No,Yes,,,
Frosted Elfin,Callophrys irus,,Arthropod,Extirpated,Ontario,Recovery Strategy,8.2,,No,No,,,
Frosted Glass-whiskers,Sclerophora peronella,Atlantic population,Lichen,Special Concern,Nova Scotia,Management Plan,"5.4, 9.5",,No,No,,,
Furbish's Lousewort,Pedicularis furbishiae,,Plant,Endangered,New Brunswick,Recovery Strategy,"9.3, 9.4",,Yes,No,,,
Gold-edged Gem,Schinia avemensis,,Arthropod,Endangered,"Alberta, Saskatchewan, Manitoba",Recovery Strategy,11.1,,No,No,,,
Golden Paintbrush,Castilleja levisecta,,Plant,Endangered,British Columbia,Recovery Strategy,"1.1, 1.3, 7.1, 8.1",,No,No,,,
Goldencrest,Lophiola aurea,,Plant,Special Concern,Nova Scotia,Action Plan,"1.1, 3.2, 8.1, 9.3",1.1,No,No,,,
Golden-winged Warbler,Vermivora chrysoptera,,Bird,Threatened,"Manitoba, Ontario, Quebec",Action Plan,8.2,,No,No,,,
Grass Pickerel,Esox americanus vermiculatus,,Fish,Special Concern,"Ontario, Quebec",Action Plan,"1.1, 2.1, 7.2, 8.1, 9.1, 9.3, 11.1",,No,No,,,
Gravel Chub,Erimystax x-punctatus,,Fish,Extirpated,Ontario,Recovery Strategy,11.1,,No,Yes,,,
Gray Ratsnake,Pantherophis spiloides,Great Lakes/St. Lawrence population,Reptile,Threatened,Ontario,Action Plan,"1.1, 4.1, 5.1, 6.1",,No,No,,,
Great Blue Heron fannini subspecies,Ardea herodias fannini,,Bird,Special Concern,British Columbia,Action Plan,"1.1, 1.2, 4.1, 5.3, 6.1, 8.2, 9.2","1.1, 1.2, 4.1, 5.3, 6.1",No,No,,,
Greater Sage-Grouse urophasianus subspecies,Centrocercus urophasianus urophasianus,,Bird,Endangered,"Alberta, Saskatchewan",Action Plan,"1.2, 2.1, 2.3, 3.1, 4.1, 4.2, 7.2, 8.1, 8.2, 11.2",,No,No,,,
Greater Short-horned Lizard,Phrynosoma hernandesi,,Reptile,Endangered,"Alberta, Saskatchewan",Action Plan,"1.1, 1.2, 2.1, 3.1, 3.2, 4.1, 4.2, 11",,No,No,,,
Green Sturgeon,Acipenser medirostris,,Fish,Special Concern,"British Columbia, Pacific Ocean",Action Plan,"1, 5.4, 7.2, 9",5.4,No,No,,,
Green-scaled Willow,Salix chlorolepis,,Plant,Threatened,Quebec,Action Plan,"6.1, 8.2",,Yes,Yes,,,
Grey Whale,Eschrichtius robustus,Eastern North Pacific population,Mammal,Special Concern,"Pacific Ocean, Arctic Ocean",Action Plan,"5.3, 6.1, 9.6, 11.1",,No,No,,,
Grey Whale,Eschrichtius robustus,Atlantic population,Mammal,Extirpated,Atlantic Ocean,Recovery Strategy,"9.2, 9.4",,No,Yes,,,
Gulf of St. Lawrence Aster,Symphyotrichum laurentianum,,Plant,Threatened,"Quebec, New Brunswick, Prince Edward Island",Action Plan,"1.1, 7.3, 11.4",,Yes,No,,,
Half-moon Hairstreak,Satyrium semiluna,,Arthropod,Endangered,"British Columbia, Alberta",Action Plan,"1.1, 2.1, 2.3, 4.1, 6.1, 8.1, 11.4","1.1, 2.1, 2.3",No,No,,,
Haller's Apple Moss,Bartramia halleriana,,Moss,Threatened,"British Columbia, Alberta",Action Plan,Unknown,,No,No,,,
Harbour Porpoise,Phocoena phocoena,Pacific Ocean population,Mammal,Special Concern,"British Columbia, Pacific Ocean, Arctic Ocean",Action Plan,"2.4, 5.4, 9.2, 9.6",,No,No,,,
Harbour Seal Lacs des Loups Marins subspecies,Phoca vitulina mellonae,,Mammal,Endangered,,Recovery Strategy,5.4,,,Yes,,,
Harlequin Duck,Histrionicus histrionicus,Eastern population,Bird,Special Concern,"Nunavut, Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Action Plan,"5.1, 7.2, 9.2",,No,No,,,
Hart's-tongue Fern,Asplenium scolopendrium,,Plant,Special Concern,Ontario,Management Plan,"1.1, 1.2, 1.3, 3.2, 5.2, 5.3, 6.1, 8.1, 8.2, 11.3","5.3, 3.2",No,No,,,
Henslow's Sparrow,Ammodramus henslowii,,Bird,Endangered,"Ontario, Quebec",Action Plan,"1.1, 2.1, 7.1, 7.2",,No,No,,,
Hill's Pondweed,Potamogeton hillii,,Plant,Special Concern,Ontario,Action Plan,"7.2, 8.1, 9.1, 9.6","7.2, 9.1, 9.6",No,No,,,
Hill's Thistle,Cirsium hillii,,Plant,Threatened,Ontario,Action Plan,"1.1, 6.1, 7.1, 8.1",1.1,No,No,,,
Hoary Mountain-mint,Pycnanthemum incanum,,Plant,Endangered,Ontario,Recovery Strategy,"6.1, 8.2",,No,Yes,,,
Hooded Warbler,Setophaga citrina,,Bird,Not at Risk,Ontario,Action Plan,"1.1, 2.1",,No,No,,,
Horned Grebe,Podiceps auritus,Magdalen Islands population,Bird,Endangered,Quebec,Action Plan,"5.4, 6.1, 9.2",,No,Yes,,,
Horsetail Spike-rush,Eleocharis equisetoides,,Plant,Endangered,Ontario,Action Plan,Unknown,,No,Yes,,,
Hotwater Physa,Physella wrighti,,Mollusc,Endangered,British Columbia,Action Plan,"5.1, 6.1, 7.2, 8.1, 9.2",,Yes,Yes,,,
Humpback Whale,Megaptera novaeangliae,North Pacific population,Mammal,Special Concern,Pacific Ocean,Action Plan,"4.3, 5.4, 6.1, 9.2, 9.6",,No,No,,,
Incurved Grizzled Moss,Ptychomitrium incurvum,,Moss,Extirpated,Ontario,Recovery Strategy,Unknown,,No,No,,,
Island Blue,Plebejus saepiolus insulanus,,Arthropod,Endangered,British Columbia,Recovery Strategy,"1.1, 7.1, 8.1",,Yes,Yes,,,
Island Marble,Euchloe ausonides insulanus,,Arthropod,Extirpated,British Columbia,Recovery Strategy,2.3,,No,No,,,
Karner Blue,Plebejus samuelis,,Arthropod,Extirpated,Ontario,Recovery Strategy,7.1,,No,No,,,
Kentucky Coffee-tree,Gymnocladus dioicus,,Plant,Threatened,Ontario,Action Plan,"1.1, 7.3, 8.2",,No,No,,,
Kidneyshell,Ptychobranchus fasciolaris,,Mollusc,Endangered,Ontario,Action Plan,"2.1, 8.1, 9.1, 9.3",8.1,No,No,,,
Killer Whale,Orcinus orca,Northeast Pacific northern resident population,Mammal,Threatened,Pacific Ocean,Action Plan,"2.4, 4.3, 5.4, 6.1, 9.2, 9.6, 11",,No,Yes,,,
Killer Whale,Orcinus orca,Northeast Pacific offshore population,Mammal,Threatened,Pacific Ocean,Action Plan,"2.4, 4.3, 5.4, 6.1, 9.2, 9.6, 11",,No,No,,,
Killer Whale,Orcinus orca,Northeast Pacific southern resident population,Mammal,Endangered,Pacific Ocean,Action Plan,"2.4, 4.3, 5.4, 6.1, 9.2, 9.6, 11",,No,Yes,,,
Killer Whale,Orcinus orca,Northeast Pacific transient population,Mammal,Threatened,Pacific Ocean,Action Plan,"2.4, 4.3, 5.4, 6.1, 9.2, 9.6, 11",,No,No,,,
King Rail,Rallus elegans,,Bird,Endangered,Ontario,Action Plan,"7.1, 8.2, 9",,No,No,,,
Kirtland's Warbler,Setophaga kirtlandii,,Bird,Endangered,Ontario,Action Plan,"5.3, 7.1, 8.2, 11.4",,No,Yes,,,
Lake Chubsucker,Erimyzon sucetta,,Fish,Endangered,Ontario,Action Plan,7.2,,No,No,,,
Lake Erie Watersnake,Nerodia sipedon insularum,,Reptile,Special Concern,Ontario,Action Plan,"4.1, 8.2, 9.1",4.1,Yes,No,,,
Lakeside Daisy,Hymenoxys herbacea,,Plant,Threatened,Ontario,Action Plan,"1.3, 3.2, 6.1, 11.1",,No,No,,,
Large-headed Woolly Yarrow,Achillea millefolium var. megacephalum,,Plant,Special Concern,Saskatchewan,Management Plan,6.1,,Yes,No,,,
Least Bittern,Ixobrychus exilis,,Bird,Threatened,"Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Action Plan,"2.1, 4.2, 6.1, 7.2, 8.1, 9.2, 9.3, 11.1","2.1, 4.2, 7.2, 8.1",No,No,,,
Leatherback Sea Turtle,Dermochelys coriacea,Pacific population,Reptile,Endangered,British Columbia,Action Plan,"1.1, 5.1, 5.4, 8.2",,No,Yes,,,
Leatherback Sea Turtle,Dermochelys coriacea,Atlantic population,Reptile,Endangered,Ontario,COSEWIC,"4.3, 5.4, 9.4, 9.6",,No,Yes,,,
Lewis’s Woodpecker,Melanerpes lewis,,Bird,Threatened,British Columbia,Action Plan,"1.1, 2.1, 4.1, 5.3, 7.1, 7.3, 8.1","1.1, 2.1, 5.3, 7.1",No,No,,,
Little Brown Myotis,Myotis lucifugus,,Mammal,Endangered,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"3.3, 5.1, 5.3, 8.1, 9",,No,No,,,
Loggerhead Shrike excubitorides subspecies,Lanius ludovicianus excubitorides,,Bird,Threatened,"Alberta, Saskatchewan, Manitoba",Action Plan,"4.1, 9.5, 11.1, 11.3",,No,No,,,
Loggerhead Shrike migrans subspecies,Lanius ludovicianus migrans,,Bird,Endangered,"Manitoba, Ontario, Quebec",Action Plan,Unknown,,No,No,,,
Long’s Braya,Braya longii,,Plant,Endangered,Newfoundland and Labrador,Action Plan,"1.1, 3.2, 4.1",,Yes,No,,,
Long-billed Curlew,Numenius americanus,,Bird,Special Concern,"British Columbia, Alberta, Saskatchewan",Action Plan,"1.1, 2.1, 5.1, 7.1, 8.1","1.1, 2.1",No,No,,,
Longspine Thornyhead,Sebastolobus altivelis,,Fish,Special Concern,Pacific Ocean,Action Plan,5.4,,No,No,,,
Louisiana Waterthrush,Parkesia motacilla,,Bird,Threatened,"Ontario, Quebec",Action Plan,"1.1, 2.1, 5.3, 8.1",,No,No,,,
Mackenzie Hairgrass,Deschampsia mackenzieana,,Plant,Special Concern,"Northwest Territories, Saskatchewan",Management Plan,"1.3, 3.2, 6.1, 8.1",,Yes,No,,,
Macoun's Meadowfoam,Limnanthes macounii,,Plant,Threatened,British Columbia,Action Plan,"1.1, 6.1, 7.3, 8.1",,Yes,No,,,
Marbled Murrelet,Brachyramphus marmoratus,,Bird,Threatened,British Columbia,Action Plan,"1.2, 5.3, 5.4, 9.2",,No,No,,,
Margined Streamside Moss,Scouleria marginata,,Moss,Endangered,British Columbia,Recovery Strategy,"2.3, 11.4",,No,Yes,,,
Massasauga,Sistrurus catenatus,Great Lakes/St. Lawrence population,Reptile,Threatened,Ontario,Action Plan,"1, 4.1, 5.1",,No,No,,,
McCown's Longspur,Rhynchophanes mccownii,,Bird,Threatened,"Alberta, Saskatchewan",Action Plan,"2.1, 3.1, 3.3, 4.1, 7.3, 9.3",,No,No,,,
Misty Lake Lentic Threespine Stickleback,Gasterosteus aculeatus,,Fish,Endangered,British Columbia,Action Plan,"2.1, 5.1, 6.1, 7.3, 8.1, 9.3, 11",8.1,Yes,No,,,
Misty Lake Lotic Threespine Stickleback,Gasterosteus aculeatus,,Fish,Endangered,British Columbia,Action Plan,"2.1, 5.1, 6.1, 7.3, 8.1, 9.3, 11",8.1,Yes,Yes,,,
Monarch,Danaus plexippus,,Arthropod,Special Concern,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia",Action Plan,"1.1, 2.1, 5.3, 7.1, 11.1, 11.3",,No,No,,,
Mormon Metalmark,Apodemia mormo,Prairie population,Arthropod,Special Concern,Saskatchewan,Action Plan,"1, 2.1, 2.3, 9.5",,No,No,,,
Mountain Plover,Charadrius montanus,,Bird,Endangered,"Alberta, Saskatchewan",Action Plan,"2.1, 7.3, 9.5, 11.4",,No,No,,,
Nooksack Dace,Rhinichthys cataractae ssp.,,Fish,Threatened,British Columbia,Action Plan,"7.2, 7.3, 9.1",7.2,Yes,Yes,,,
North Atlantic Right Whale,Eubalaena glacialis,,Mammal,Endangered,Atlantic Ocean,Action Plan,"4.3, 5.4, 6.1, 9.2, 11.1","4.3, 5.4",No,Yes,,,
North Pacific Right Whale,Eubalaena japonica,,Mammal,Endangered,Pacific Ocean,Action Plan,"4.3, 5.4, 6.1, 9.2, 11.1","4.3, 5.4",No,No,,,
Northern Abalone,Haliotis kamtschatkana,,Mollusc,Endangered,Pacific Ocean,Action Plan,"5.4, 8.2",,No,Yes,,,
Northern Bottlenose Whale,Hyperoodon ampullatus,Scotian Shelf population,Mammal,Endangered,Atlantic Ocean,Action Plan,"3.1, 4.3, 5.4, 9.2, 9.6",,No,Yes,,,
Northern Goshawk laingi subspecies,Accipiter gentilis laingi,,Bird,Threatened,British Columbia,Action Plan,5.3,,No,No,,,
Northern Leopard Frog,Lithobates pipiens,Western Boreal/Prairie populations,Amphibian,Special Concern,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Action Plan,"2.3, 4.1, 4.2, 7.2, 8.1, 8.2, 9.3","4.1, 4.2, 7.2, 8.1",No,No,,,
Northern Madtom,Noturus stigmosus,,Fish,Endangered,Ontario,Action Plan,"8.1, 9",9,No,No,,,
Northern Map Turtle,Graptemys geographica,,Reptile,Special Concern,"Ontario, Quebec",Action Plan,"1.1, 1.2, 5.1, 6.1, 7.2, 9.2",,No,No,,,
Northern Myotis,Myotis septentrionalis,,Mammal,Endangered,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"3.3, 5.1, 5.3, 8.1, 9",,No,No,,,
Northern Riffleshell,Epioblasma torulosa rangiana,,Mollusc,Endangered,Ontario,Action Plan,"1.1, 1.2, 2.1, 7.2, 8.1, 9.2, 9.3",,No,No,,,
Northern Saw-whet Owl brooksi subspecies,Aegolius acadicus brooksi,,Bird,Threatened,British Columbia,Action Plan,"4.1, 5.3, 8.1",,No,No,,,
Northern Wolffish,Anarhichas denticulatus,,Fish,Threatened,"Arctic Ocean, Atlantic Ocean",Action Plan,"5.4, 7.3",,No,No,,,
Nugget Moss,Microbryum vlassovii,,Moss,Endangered,British Columbia,Recovery Strategy,"1.1, 4.1, 6.1, 8.1, 11.4",,No,Yes,,,
Nuttall's Cottontail nuttallii subspecies,Sylvilagus nuttallii nuttallii,,Mammal,Special Concern,British Columbia,Management Plan,"1.1, 2.1",,No,Yes,,,
Oldgrowth Specklebelly Lichen,Pseudocyphellaria rainierensis,,Lichen,Special Concern,British Columbia,Action Plan,5.3,,No,No,,,
Olive-sided Flycatcher,Contopus cooperi,,Bird,Threatened,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"1, 7.3",,No,No,,,
Olympia Oyster,Ostrea lurida,,Mollusc,Special Concern,"British Columbia, Pacific Ocean",Action Plan,"5.4, 9, 11.3",,No,No,,,
Ord's Kangaroo Rat,Dipodomys ordii,,Mammal,Endangered,"Alberta, Saskatchewan",Recovery Strategy,"4.1, 4.2, 7.1, 9.6, 11.4",,No,Yes,,,
Ottoe Skipper,Hesperia ottoe,,Arthropod,Endangered,Manitoba,Recovery Strategy,"2.1, 2.3, 8.1",,No,Yes,,,
Pacific Water Shrew,Sorex bendirii,,Mammal,Endangered,British Columbia,Recovery Strategy,"1.1, 1.2, 1.3, 2.1, 5.3, 7.2","1.1, 1.2, 1.3",No,Yes,,,
Paddlefish,Polyodon spathula,,Fish,Extirpated,Ontario,Recovery Strategy,"5.4, 7.2, 9.2",,No,No,,,
Pale Yellow Dune Moth,Copablepharon grandis,,Arthropod,Special Concern,"Alberta, Saskatchewan, Manitoba",Management Plan,"2.3, 3.1, 4.1, 6.1",,No,Yes,,,
Pale-bellied Frost Lichen,Physconia subpallida,,Lichen,Endangered,Ontario,Action Plan,"5.3, 9.5",,No,No,,,
Paxton Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,,Fish,Endangered,British Columbia,Action Plan,"2.1, 5.1, 7.2, 8.1",,Yes,Yes,,,
Paxton Lake Limnetic Threespine Stickleback,Gasterosteus aculeatus,,Fish,Endangered,British Columbia,Action Plan,"2.1, 5.1, 7.2, 8.1",,Yes,Yes,,,
Peregrine Falcon anatum/tundrius,Falco peregrinus anatum/tundrius,,Bird,Special Concern,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Action Plan,"5.1, 6.1, 8.2, 9.3",9.3,No,No,,,
Peregrine Falcon pealei subspecies,Falco peregrinus pealei,,Bird,Special Concern,British Columbia,Action Plan,"5.1, 6.1, 8.2, 9.3",9.3,No,No,,,
Pink Coreopsis,Coreopsis rosea,,Plant,Endangered,Nova Scotia,Action Plan,"1.1, 6.1, 7.2, 8.1, 9.2, 9.3","1.1, 6.1",No,No,,,
Pink Sand-verbena,Abronia umbellata,,Plant,Endangered,British Columbia,Action Plan,"6.1, 8.1, 11.4",,No,No,,,
Pink-footed Shearwater,Puffinus creatopus,,Bird,Endangered,British Columbia,Action Plan,"5.1, 5.4, 6.1, 8.1, 9.1, 9.2",,No,No,,,
Piping Plover circumcinctus subspecies,Charadrius melodus circumcinctus,,Bird,Endangered,"Alberta, Saskatchewan, Manitoba, Ontario",Action Plan,"2.1, 6.1, 7.2",,No,Yes,,,
Piping Plover melodus subspecies,Charadrius melodus melodus,,Bird,Endangered,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"1.1, 6.1, 9.2, 11.1, 11.3, 11.4",,No,No,,,
Pitcher’s Thistle,Cirsium pitcheri,,Plant,Special Concern,Ontario,Action Plan,"1.1, 6.1, 8.2",,No,No,,,
Plymouth Gentian,Sabatia kennedyana,,Plant,Endangered,Nova Scotia,Action Plan,"1.1, 7.2, 8.1, 9.3",9.3,No,No,,,
Poor Pocket Moss,Fissidens pauperculus,,Moss,Endangered,British Columbia,Recovery Strategy,11.3,,No,Yes,,,
Porsild's Bryum,Haplodontium macrocarpum,,Moss,Threatened,"Nunavut, British Columbia, Alberta, Newfoundland and Labrador",Action Plan,"1.1, 3.2, 4.1, 6.1","1.1, 6.1",No,Yes,,,
Poweshiek Skipperling,Oarisma poweshiek,,Arthropod,Threatened,Manitoba,Recovery Strategy,"2.1, 7.1, 8.1",2.1,No,Yes,,,
Prairie Lupine,Lupinus lepidus,,Plant,Endangered,British Columbia,Recovery Strategy,"1.1, 1.2, 4.2, 6.1, 7.1, 8.1",,No,No,,,
Prothonotary Warbler,Protonotaria citrea,,Bird,Endangered,Ontario,Action Plan,"5.3, 7.2, 8.1",,No,No,,,
Puget Oregonian Snail,Cryptomastix devia,,Mollusc,Extirpated,British Columbia,Recovery Strategy,"1.1, 4.1",,No,Yes,,,
Pugnose Minnow,Opsopoeodus emiliae,,Fish,Special Concern,Ontario,Management Plan,"9.1, 9.3",,No,No,,,
Pugnose Shiner,Notropis anogenus,,Fish,Threatened,Ontario,Action Plan,"1.1, 1.2, 2.1, 7.2, 8.1",,No,No,,,
Purple Twayblade,Liparis liliifolia,,Plant,Threatened,"Ontario, Quebec",Action Plan,"1.1, 8.1",,No,No,,,
Pygmy Short-horned Lizard,Phrynosoma douglasii,,Reptile,Extirpated,British Columbia,Recovery Strategy,"2.3, 4.1, 11.3",,No,No,,,
Pygmy Snaketail,Ophiogomphus howei,,Arthropod,Special Concern,"Ontario, New Brunswick",Management Plan,"7.2, 8.1, 9.2, 9.3",,No,Yes,,,
Queensnake,Regina septemvittata,,Reptile,Endangered,Ontario,Action Plan,"1.1, 2.1, 2.3, 5.1, 6.1, 7.2, 8.1, 9.3",,No,No,,,
Rainbow Mussel,Villosa iris,,Mollusc,Special Concern,Ontario,Action Plan,"1.1, 2.1, 7.2, 8.1, 9.2, 9.3",,No,Yes,,,
Rainbow Smelt,Osmerus mordax,Lake Utopia large-bodied population,Fish,Threatened,New Brunswick,Action Plan,"5.3, 5.4, 7.2, 8.1, 11.4",,Yes,No,,,
Rainbow Smelt,Osmerus mordax,Lake Utopia small-bodied population,Fish,Threatened,New Brunswick,Recovery Strategy,"4.1, 6.1, 7.2, 8.1",,Yes,No,,,
Rayed Bean,Villosa fabalis,,Mollusc,Endangered,Ontario,Action Plan,"2.1, 5.3, 9.3",,No,No,,,
Red Crossbill percna subspecies,Loxia curvirostra percna,,Bird,Endangered,"Quebec, Newfoundland and Labrador",Action Plan,"2.1, 3.2, 4.1, 5.3, 7.1, 5.3, 8.1, 8.2","5.3, 7.1, 8.1, 8.2",No,Yes,,,
Red Knot rufa subspecies,Calidris canutus rufa,,Bird,Endangered,"Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"5.4, 6.1, 7.2, 9.2, 11.1, 11.4",5.4,No,No,,,
Red Mulberry,Morus rubra,,Plant,Endangered,Ontario,Action Plan,"7.2, 8.1",,No,No,,,
Red-headed Woodpecker,Melanerpes erythrocephalus,,Bird,Threatened,"Saskatchewan, Manitoba, Ontario, Quebec",Action Plan,"1.1, 2.1, 5.3",,No,No,,,
Red-legged Frog,Rana aurora,,Amphibian,Special Concern,British Columbia,Action Plan,"1.1, 4.1, 5.3, 7.2, 8.1, 9.1, 11.3, 11.4",,No,No,,,
Rocky Mountain Ridged Mussel,Gonidea angulata,,Mollusc,Special Concern,British Columbia,Management Plan,"8.1, 9.3, 11.3",,No,Yes,,,
Rocky Mountain Sculpin,Cottus sp.,Eastslope populations,Fish,Threatened,Alberta,Action Plan,"7.2, 11.2, 11.3",,No,No,,,
Roseate Tern,Sterna dougallii,,Bird,Endangered,"Quebec, New Brunswick, Nova Scotia",Action Plan,"1.1, 1.2, 2.4, 4.3, 6.1, 8.2, 11.1, 11.4",8.2,No,Yes,,,
Rougheye Rockfish type I,Sebastes sp. type I,,Fish,Special Concern,Pacific Ocean,Action Plan,5.4,,No,No,,,
Rougheye Rockfish type II,Sebastes sp. type II,,Fish,Special Concern,Pacific Ocean,Action Plan,5.4,,No,No,,,
Round Hickorynut,Obovaria subrotunda,,Mollusc,Endangered,Ontario,Action Plan,"2.1, 8.1, 9.1, 9.3",,No,No,,,
Round Pigtoe,Pleurobema sintoxia,,Mollusc,Endangered,Ontario,Action Plan,"1.1, 8.1, 9.3",,No,No,,,
Rusty Blackbird,Euphagus carolinus,,Bird,Special Concern,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"1.1, 2.1, 5.1, 7.2, 9.2, 11.1","1.1, 2.1, 5.1, 7.2 ",No,No,,,
Rusty Cord-moss,Entosthodon rubiginosus,,Moss,Endangered,British Columbia,Recovery Strategy,"2.3, 6.1, 7.2, 8.1, 11.1",,No,Yes,,,
Sable Island Sweat Bee,Lasioglossum sablense,,Arthropod,Threatened,Nova Scotia,Action Plan,"6.1, 8.1, 11.1, 11.4",,Yes,No,,,
Salamander Mussel,Simpsonaias ambigua,,Mollusc,Endangered,Ontario,Action Plan,"1.1, 2.1, 7.2, 8.1, 9.2, 9.3",,No,No,,,
Salish Sucker,Catostomus catostomus ssp.,,Fish,Threatened,British Columbia,Action Plan,"7.2, 9.3",,No,Yes,,,
Sand-dune Short-capsuled Willow,Salix brachycarpa var. psammophila,,Plant,Special Concern,Saskatchewan,Management Plan,6.1,,Yes,No,,,
Sand-verbena Moth,Copablepharon fuscum,,Arthropod,Endangered,British Columbia,Action Plan,"6.1, 8.1, 9, 11.1",,No,No,,,
Savannah Sparrow princeps subspecies,Passerculus sandwichensis princeps,,Bird,Special Concern,Nova Scotia,Management Plan,"1.1, 11.3",,No,Yes,,,
Sea Otter,Enhydra lutris,,Mammal,Special Concern,"British Columbia, Pacific Ocean",Action Plan,"5.4, 9.2",,No,No,,,
Seaside Birds-foot Lotus,Lotus formosissimus,,Plant,Endangered,British Columbia,Action Plan,"1.1, 2.1, 7.1, 8.1","1.1, 2.1",No,No,,,
Seaside Centipede Lichen,Heterodermia sitchensis,,Lichen,Endangered,British Columbia,Action Plan,"1.1, 5.3, 11.4",5.3,No,No,,,
Sei Whale,Balaenoptera borealis,Pacific population,Mammal,Endangered,Pacific Ocean,Action Plan,"5.4, 9.6, 9.2",,No,No,,,
Sharp-tailed Snake,Contia tenuis,,Reptile,Endangered,British Columbia,Action Plan,"1.1, 4.1, 11.1",11.1,No,No,,,
Short-eared Owl,Asio flammeus,,Bird,Special Concern,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"1.1, 2.1, 4.1, 4.2, 7.2, 9.5",,No,No,,,
Shortnose Cisco,Coregonus reighardi,,Fish,Endangered,Ontario,Recovery Strategy,"5.4, 8.1",,Yes,Yes,,,
Short-tailed Albatross,Phoebastria albatrus,,Bird,Threatened,"British Columbia, Pacific Ocean",Action Plan,"3.1, 3.3, 5.4, 9.1, 9.2, 11","5.4, 9.1, 9.2",No,No,,,
