Common Name,Scientific Name,Population Name,Taxon Group,SARA Status,Final Recovery Document Date,Reassessment Date,Recovery Document Objectives,Species Data,Rationale,Are Trends Consistent With Objectives?
Western Brook Lamprey,Lampetra richardsoni,Morrison Creek population,"Fish, freshwater",Endangered,23/07/2007,12/10/2016,"Maintain a self-sustaining population within Morrison Creek. Maintain, and where possible enhance, the ecological integrity of habitat.","No population estimates exist for the species, and none are possible given existing data. Some habitat loss and degradation has occurred and is projected to continue because of urban expansion and proximity to a major highway. Locally led habitat restoration projects for Morrison Creek are underway.",Population trends are unknown.,Insufficient data to determine trends
Western Prairie Fringed-orchid,Platanthera praeclara,,"Vascular plant, herb",Endangered,25/10/2006,01/11/2016,"Maintain the population at its current population size and distribution, taking into account natural fluctuations.","The number of flowering individuals fluctuates widely from year to year. A decline may be inferred based on a gradual decline in suitable habitat, but there is no clear trend in population size.",There is no clear decline in population size.,Yes
Western Silvery Minnow,Hybognathus argyritis,,"Fish, freshwater",Threatened,27/02/2008,28/04/2016,Maintain a self-sustaining population within its current range.,"There is little information available to establish population size or trends. There have been no known instances of population or habitat decline in the Milk River and there is no information to suggest that the population has declined, which suggest that there is maintenance of the population.",The species appears to be stable.,Yes
Westslope Cutthroat Trout,Oncorhynchus clarkii lewisi,British Columbia population,"Fish, freshwater",Special Concern,20/03/2017,01/11/2016,Maintain wild populations at abundance levels that prevent at-risk status assessment so that the populations can provide sustainable societal benefits,"Abundance averaged ~30 fish/km for WCT >30 cm from snorkel surveys in some Kootenay systems. Applying the Alberta estimate of 100 fish/subpopulation to British Columbia systems indicates the presence of a minimum of 92,800 WCT.",Estimating abundance and trends over time for the DU as a whole is difficult.,Insufficient data to determine trends
Westslope Cutthroat Trout,Oncorhynchus clarkii lewisi,Alberta population,"Fish, freshwater",Threatened,28/03/2014,01/11/2016,"Maintain the existing nearly pure populations at self-sustaining levels and re-establish additional pure populations to self-sustaining levels, within the species’ original distribution.","Subpopulations in Alberta are depressed relative to historical levels, and extirpations in large portions of watersheds have occurred. The number and distribution of pure subpopulations has steadily declined in Alberta.",Pure populations are declining.,No
White Flower Moth,Schinia bimatris,,Insect,Endangered,11/08/2011,01/11/2014,Secure and maintain its current distribution at the single known occupied site in Canada and at all new sites that may be discovered.,Populations are expected to decline over the next century based on habitat projections.,Population declines are expected.,No
White-top Aster,Sericocarpus rigidus,,"Vascular plant, herb",Special Concern,11/08/2006,01/04/2009,"Maintain extant populations at current levels of abundance or greater. Establish a minimum of 2 new self-sustaining populations in the Victoria area. By 2016, stable or increasing population size at 10 protected localities, with population growth projected.",Many populations appear to be declining because of a combination of threats within protected areas. Populations outside of protected areas are declining because of habitat disturbance.,Populations are stable or declining.,No
Whooping Crane,Grus americana,,Bird,Endangered,20/11/2007,01/04/2010,"Establish 1000 Whooping Cranes in North America by 2035. Protect, restore, and manage the species to be self-sustaining in the wild, no longer requiring the protections of the Species at Risk Act. Establish 2 additional wild populations, and maintain captive populations.","The wild Canadian population increased by over 40% between 1998 and 2008. Although slight decreases occasionally occur, likely due to predation, the population has been mostly increasing since intensive population monitoring was initiated in 1938.",Increasing population is consistent with recovery goals.,Yes
Williamson's Sapsucker,Sphyrapicus thyroideus,,Bird,Endangered,10/12/2014,01/11/2017,Ensure the persistence of the populations within each of the identified areas of occupancy by maintaining them at or above current abundance and distribution.,The population is estimated at 960 breeding adults. Long-term monitoring surveys were only established in 2012 so trends estimates are not yet available.,Current available data cannot be used to estimate trends.,Insufficient data to determine trends
Woodland Caribou,Rangifer tarandus,Atlantic-Gaspésie population,Mammal,Endangered,20/11/2007,01/11/2014,Establish a population of 150 caribou by 2007 and 175 by 2012 with calves making up 17% of the total population.,"The population declined from an estimated 274 animals (219 mature) in 1983, to 214 (174 mature) in 2007, and to 130 (112 mature) in 2013.",Population size and distribution are declining.,No
Woodland Caribou,Rangifer tarandus,Boreal population,Mammal,Threatened,05/10/2012,31/10/2017,Maintain the current status of the 14 existing self-sustaining local populations. Stabilize and achieve self-sustaining status for the 37 not self-sustaining local populations.,"Despite considerable conservation efforts, range-wide declines have continued. None of the 30 local populations for which data was provided have an increasing population trend: 10 are stable and 20 have a decreasing population trend.",Most local populations are declining.,No
Woodland Caribou,Rangifer tarandus,Northern Mountain population,Mammal,Special Concern,10/05/2012,01/05/2002,"Prevent the Northern Mountain population from becoming Threatened or Endangered by maintaining and recovering herds, as well as their preserving their natural habitat.","Forty-five subpopulations range from west-central British Columbia to the Yukon and western Northwest Territories. Numbers in Canada are about 45 000 adults. There is little long-term trend information, and many current estimates are based on survey data more than 5 years old. Two subpopulations are thought to be increasing, 7 are stable and 9 are declining. The condition of the remaining 27 subpopulations is unknown. The 2 largest subpopulations, comprising 26 to 29% of the estimated population, are thought to be stable. All stable or increasing subpopulations are located in the northern part of the range, whereas 9 in the southern part of the range have declined by 26% since the last assessment.","Northern herds are stable or increasing, while southern herds are declining. Survey data are dated and incomplete.",Mixed evidence
Wood-poppy,Stylophorum diphyllum,,"Vascular plant, herb",Endangered,20/06/2007,01/11/2007,"Stabilize or increase population sizes of mature plants at all known sites, including increasing population size at Population A to at least 50 mature individuals. Increase recruitment rates at all known sites.","The 3 known populations contained about 255, 250 and 24 mature plants, respectively, in 2006. The largest known population was partially covered by fill in 1993 and reduced from about 800 plants to about 170. By 2007 it had increased slightly to about 250 individuals, although this is not based on a detailed census. The other 2 populations have both increased slightly 2004?2007, but it is not clear if this is a short-term natural fluctuation or a trend. Overall population trend is a major decrease followed by stable or slight increase.",Recent stable population trend is consistent with recovery objective to stabilize or increase population sizes of mature plants at all known sites.,Yes
Yellow Lampmussel,Lampsilis cariosa,,Mollusc,Special Concern,06/04/2010,27/01/2017,Maintain the existing populations in Canada.,"Trends in population sizes are unknown. Habitat conditions in the Saint John watershed appear to be relatively unchanged. Within the Sydney River system, there has been little change in physical habitat since 2002, although the shorelines along the Sydney River were progressively being developed. An additional population has been identified within another (small) watershed in the Sydney area.","There is no information on population trends, but habitat conditions appear stable.",Yes
Yellow Montane Violet praemorsa subspecies,Viola praemorsa ssp. praemorsa,,"Vascular plant, herb",Endangered,11/08/2006,01/11/2007,Maintain extant populations at current levels of abundance or greater. Restore Yellow Montane Violet to its estimated approximate historical extent of occurrence and area of occupancy and establish a minimum of 2 new populations.,"Several populations have been lost to property development; 12 of 14 remaining populations are protected. Based on recent data from each of the sites, the total British Columbia population size is between 32 000 and 49 000 plants. Two populations appear to be increasing but the change in numbers is actually a result of more careful searches. Anecdotal evidence suggests that the larger populations fluctuate substantially. There is no clear trend in the area of habitat occupied. The quality of the area of occupancy is declining, primarily as the result of invasion by exotic plants.","An overall trend cannot be determined due to fluctuations in population sizes. However, no new sites have been established and habitat quality is declining.",No
Yellow-breasted Chat virens subspecies,Icteria virens virens,,Bird,Endangered,01/02/2011,01/11/2011,Maintain the virens subspecies at its current population level in Canada.,"There are fewer than 42 pairs in Ontario. The Ontario population has declined by about 33% from 2001 to 2011. This subspecies is showing long-term significant declines in all states adjacent to Ontario, coupled with a range retraction over most of the entire northeast.",Population size is declining.,No
Yucca Moth,Tegeticula yuccasella,,Insect,Endangered,11/08/2011,01/05/2013,Re-establish a reproducing population of yucca moths at the Pinhorn site by 2011 and increase reproductive capacity. Maintain naturally self-sustaining populations at the AAFC Onefour Research Station site.,"Population data are short-term and insufficient to determine trends; adult moths are small and short-lived. The number of mature individuals fluctuates by a factor of up to 40 times among years. The number of moth larvae detected at Pinhorn in 2011 was 139. At Onefour, there is no indication of a decline in Yucca Moth abundance since 1998.","Successful larval emergence from Soapweed seedpods at the Pinhorn site in 2011, confirming the presence of Yucca moth.",Yes
